feature,mean_abs_shap
discharge_disposition_id,0.23363343
number_inpatient,0.14330615
inpatient_ratio,0.14189304
diag_1_cat,0.08204441
prior_visits,0.049540702
procedures_per_day,0.046577994
A1Cresult,0.04361635
number_diagnoses,0.042584173
age_num,0.038989075
num_medications,0.038229845
diabetesMed,0.038020227
diag_2_cat,0.033799298
number_emergency,0.029425176
time_in_hospital,0.02767087
num_lab_procedures,0.027108632
labs_per_day,0.025974438
metformin,0.024353893
diag_3_cat,0.024140479
meds_per_diagnosis,0.023799067
n_meds_active,0.022523975
max_glu_serum,0.01408748
admission_source_id,0.0136264
n_meds_down,0.011755171
admission_type_id,0.01068923
medical_specialty,0.009375158
gender,0.009198395
insulin,0.0085424
high_prior_inpatient,0.007551698
insulin_changed,0.0071198097
insulin_active,0.006717395
n_meds_changed,0.0064953826
race,0.006133007
num_procedures,0.00575318
glipizide,0.005660393
pioglitazone,0.0051586935
glimepiride,0.0046573863
number_outpatient,0.0045592585
glyburide,0.0027604473
change,0.0027332061
n_meds_up,0.0009215824
repaglinide,0.0009072301
rosiglitazone,0.0007998193
glyburide-metformin,0.00034733294
acarbose,0.00031160904
nateglinide,0.00016626873
chlorpropamide,0.000111175155
acetohexamide,0.0
tolbutamide,0.0
metformin-rosiglitazone,0.0
miglitol,0.0
metformin-pioglitazone,0.0
glipizide-metformin,0.0
glimepiride-pioglitazone,0.0
troglitazone,0.0
tolazamide,0.0
examide,0.0
citoglipton,0.0
